Product Name,Price
"Samsung Galaxy A31 Dual SIM - 6.4 Inch, 128 GB, 4 GB RAM, 4G LTE - Black","3,265.00 EGP"
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Black","2,564.00 EGP"
"Samsung SM-R840 Galaxy Watch3 Smart Watch, 45 mm - Mystic Silver","4,860.00 EGP"
"Samsung Galaxy A21s Dual SIM Mobile, 6.5 Inches, 128 GB, 4 GB RAM, 4G LTE - Blue","3,199.00 EGP"
"Samsung Galaxy M11 Dual SIM - 32GB, 3GB RAM, 4G LTE - Metallic Blue","2,219.00 EGP"
"Samsung Galaxy A32 Dual SIM - 6.4 Inches, 6GB RAM, 128GB, 4G LTE - Awesome Black","4,049.00 EGP"
"Samsung Galaxy A10s Dual SIM - 32GB, 2GB RAM, 4G LTE, Tactile Black","1,849.00 EGP"
"Samsung Galaxy A72 Dual SIM - 6.7 Inches, 8 GB RAM, 256 GB - Awesome Violet","7,666.00 EGP"
"Samsung Galaxy Tab A T295 2019 - 8 Inch, 32GB, 2GB RAM, 4G LTE, Silver","2,625.00 EGP"
"Samsung Galaxy SM-R800NZSAEGY Smart Watch - Silicon Band, Silver","3,399.00 EGP"
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Blue","2,560.00 EGP"
"Samsung Galaxy A02 Dual Sim Mobile, 6.5 Inches, 32 GB, 3 GB RAM, 4G LTE - Black","1,699.00 EGP"
"Samsung Galaxy A21s SM-A217FZKGEGY Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Black","2,838.00 EGP"
"Samsung Galaxy A10s Dual SIM - 32GB, 2GB RAM, 4G LTE, Tactile Blue","1,830.00 EGP"
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 128 GB, 4 GB RAM, 4G LTE - Black","2,788.00 EGP"
Samsung Scale Bluetooth Body Fat - IF-1090D,393.00 EGP
"Samsung Galaxy A02s Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Black","2,210.00 EGP"
"Samsung Galaxy S21 Dual SIM Mobile - 6.2 inches, 128 GB, 8 GB RAM, 5G - Gray with Samsung Wireless Power Bank, 10000 mAh and Samsung Fit 2 Watch","13,749.00 EGP"
"Samsung Galaxy A52 Dual SIM - 6.5 inches, 8 GB RAM, 256 GB - Black","6,449.00 EGP"
"Samsung Galaxy A02s Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Red","2,255.00 EGP"
"Samsung Galaxy A32 Dual SIM - 6.4 Inches, 6GB RAM, 128GB, 4G LTE - Violet","3,986.00 EGP"
"Samsung Galaxy M51 Dual SIM Mobile - 6.7 Inches, 128 GB, 8 GB RAM, 4G LTE - Black","5,898.00 EGP"
Galaxy A51 - 6.5-inch 128GB/8GB Dual SIM 4G Mobile Phone - Prism Crush White,"4,895.35 EGP"
